"","unique.date","crime_frequency","year","month","day","binary"
"350",2006-12-16,658,2006,12,16,0
"351",2006-12-17,573,2006,12,17,1
"352",2006-12-18,689,2006,12,18,0
"353",2006-12-19,634,2006,12,19,0
"354",2006-12-20,675,2006,12,20,0
"355",2006-12-21,584,2006,12,21,0
"356",2006-12-22,524,2006,12,22,0
"357",2006-12-23,509,2006,12,23,0
"358",2006-12-24,478,2006,12,24,0
"359",2006-12-25,247,2006,12,25,1
"360",2006-12-26,622,2006,12,26,0
"361",2006-12-27,672,2006,12,27,0
"362",2006-12-28,696,2006,12,28,0
"363",2006-12-29,646,2006,12,29,0
"364",2006-12-30,567,2006,12,30,0
"365",2006-12-31,503,2006,12,31,1
"366",2007-01-01,512,2007,1,1,0
"367",2007-01-02,675,2007,1,2,0
"368",2007-01-03,609,2007,1,3,0
"369",2007-01-04,645,2007,1,4,0
"370",2007-01-05,612,2007,1,5,0
"371",2007-01-06,637,2007,1,6,0
"372",2007-01-07,549,2007,1,7,1
"373",2007-01-08,574,2007,1,8,0
"374",2007-01-09,651,2007,1,9,0
"375",2007-01-10,655,2007,1,10,0
"376",2007-01-11,656,2007,1,11,0
"377",2007-01-12,629,2007,1,12,0
"378",2007-01-13,577,2007,1,13,1
"379",2007-01-14,595,2007,1,14,0
"380",2007-01-15,624,2007,1,15,0
"381",2007-01-16,665,2007,1,16,0
"382",2007-01-17,576,2007,1,17,0
"383",2007-01-18,514,2007,1,18,0
"384",2007-01-19,607,2007,1,19,0
"385",2007-01-20,553,2007,1,20,0
"386",2007-01-21,505,2007,1,21,0
"387",2007-01-22,546,2007,1,22,0
"388",2007-01-23,636,2007,1,23,0
"389",2007-01-24,657,2007,1,24,0
"390",2007-01-25,561,2007,1,25,0
"391",2007-01-26,525,2007,1,26,0
"392",2007-01-27,497,2007,1,27,0
"393",2007-01-28,548,2007,1,28,0
"394",2007-01-29,527,2007,1,29,0
"395",2007-01-30,574,2007,1,30,0
"396",2007-01-31,544,2007,1,31,0
"397",2007-02-01,593,2007,2,1,0
"398",2007-02-02,522,2007,2,2,0
"399",2007-02-03,511,2007,2,3,0
"400",2007-02-04,533,2007,2,4,0
"401",2007-02-05,502,2007,2,5,0
"402",2007-02-06,543,2007,2,6,0
"403",2007-02-07,509,2007,2,7,0
"404",2007-02-08,562,2007,2,8,0
"405",2007-02-09,549,2007,2,9,0
"406",2007-02-10,559,2007,2,10,0
"407",2007-02-11,484,2007,2,11,0
"408",2007-02-12,543,2007,2,12,0
"409",2007-02-13,462,2007,2,13,0
"410",2007-02-14,317,2007,2,14,0
"411",2007-02-15,378,2007,2,15,0
"412",2007-02-16,436,2007,2,16,0
"413",2007-02-17,444,2007,2,17,0
"414",2007-02-18,480,2007,2,18,0
"415",2007-02-19,519,2007,2,19,0
"416",2007-02-20,509,2007,2,20,0
"417",2007-02-21,634,2007,2,21,0
"418",2007-02-22,570,2007,2,22,0
"419",2007-02-23,523,2007,2,23,0
"420",2007-02-24,485,2007,2,24,0
"421",2007-02-25,559,2007,2,25,0
